Type,Name,Number Build,SKU,Description,Short Description,Description Status,Categories,Tags,Brands,Vendor,Images,Image Info,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,meta_sds_map,meta_tds_map
simple,Paint Colour Samples,1,BM-000000001,,"Benjamin Moore Paint Colour Samples let you try real paint on your walls so you can see undertones, lighting effects and coverage in your own space before choosing a full-size can. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"benjamin moore, bm paints, colour sample, paint sample, sample, tester, wall colour test",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/3d4219d8bbf01f7b53b6d76e609793bdd93d9e4f/coloursample_coloursamples_benjaminmoore.png?raw=true,Image already existed,Finishes,,1,1,,,,,,
simple,Woodluxe Exterior Stain Sample,2,BM-000000002,,"Benjamin Moore Woodluxe Exterior Stain Samples make it easy to preview colour and opacity on decks, siding and outdoor wood so you can choose the right Woodluxe finish with confidence. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Stains & Varnishes,"benjamin moore, bm paints, exterior paint, exterior stain, sample, stain sample, tester, wood sample, wood stain",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/fef9091ad5756d0c7d6127c29b3d4528512d15eb/woodluxestainsample_coloursamples_benjaminmoore.png?raw=true,Image already existed,Finishes,,1,1,,,,,,
simple,Peel and Stick Paint Sample,3,BM-000000003,,"Benjamin Moore Peel & Stick Paint Samples are repositionable decals coated with real paint, letting you move colours around the room, compare options and test in different lighting without opening a can or using a brush. Review the listed format and current manufacturer instructions to confirm compatibility, safe use, cleaning and storage for the intended job.",Previously Described,Painting Tools & Accessories > Tools,"benjamin moore, bm paints, paint swatch, peel & stick, peel and stick, removable sample, sample, tester",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/25b1c78fe90b82e49f0cc35075f3304296b481bf/peelandstickpaintsample_painttoolsaccessories_benjaminmoore.png?raw=true,Image already existed,Finishes,,1,1,,,,,,
simple,Aura Interior Paint,4,BM-000000004,,"Aura Interior is Benjamin Moore's ultra-premium paint, using Colour Lock technology for rich, long-lasting colour and stunning beauty that lasts. The master lists Matte, Satin, Eggshell, or Semi Gloss finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"aura, aura interior, interior paint, benjamin moore, bm paints, indoor, interior,premium paint, washable walls, colour lock, premium",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/a47c7ba43e5ea44f073f12f0a375c55e2044fad6/aurainterior_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Matte | Satin | Eggshell | Semi Gloss,1,1,,,,,"Eggshell=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0524/F5241X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0524/F5242X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0524/F5243X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0524/F5244X_SDS_EN.pdf|Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0522/F5221X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0522/F5222X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0522/F5223X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0522/F5224X_SDS_EN.pdf|Satin=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_N526/F5261X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_N526/F5262X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_N526/F5263X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_N526/F5264X_SDS_EN.pdf|Semi Gloss=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0528/F5281X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0528/F5282X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0528/F5283X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0528/F5284X_SDS_EN.pdf",Eggshell=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0524/F524_TDS_CE_OKF.pdf|Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0522/F522_TDS_CE_OKF.pdf|Satin=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0526/F526_TDS_CE_OKF.pdf|Semi Gloss=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0528/F528_TDS_CE_OKF.pdf
simple,Aura Bath & Spa Interior Paint,5,BM-000000005,,"Benjamin Moore Aura Bath & Spa is a luxe matte bathroom paint engineered for high-humidity spaces, offering rich colour, exceptional hide, and a mildew-resistant finish that stands up to steam and frequent cleaning. The master lists Matte finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"aura, aura interior, interior paint, benjamin moore, bath & spa, bathroom paint, bm paints, high humidity, indoor, interior, mildew resistant, colour lock, premium",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/bcdb734d85f43316adb27f2a19b5eda20791e868/aurabath_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Matte,1,1,,,,,"Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0532/K5321X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0532/K5322X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0532/K5323X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0532/K5324X_SDS_EN.pdf",Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0532/K532_TDS_CE.pdf
simple,Regal Select Interior Paint,6,BM-000000006,,"Benjamin Moore Regal Select Interior is a premium paint-and-primer-in-one, known for its easy application, excellent hide, and stain-release technology that makes walls washable and ideal for busy rooms. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"regal, regal interior, interior paint, benjamin moore, bm paints, everyday paint, indoor, interior,  regal select, scrubbable",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/453b70aa60eb522deb5741224566d7e4ff19803c/regalselectinterior_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Matte | Eggshell | Semi Gloss | Pearl,1,1,,,,,"Eggshell=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0549/F5491X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0549/F5492X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0549/F5493X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0549/F5494X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0549/F54901_SDS_EN.pdf|Satin Pearl=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0550/F5501X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0550/F5502X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0550/F5503X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0550/F5504X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0550/F55001_SDS_EN.pdf|Semi Gloss=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0551/Y5511X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0551/Y5512X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0551/Y5513X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0551/Y5514X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0551/Y55101_SDS_EN.pdf|Ulti Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0552/K55201_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0552/K5521X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0552/K5522X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0552/K5523X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0552/K5524X_SDS_EN.pdf",Eggshell=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0549/F549_TDS_CE.pdf|Satin Pearl=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0550/F550_TDS_CE.pdf|Semi Gloss=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0551/F551_TDS_CE.pdf|Ulti Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0552/K552_TDS_CE.pdf
simple,Ben Interior Paint,7,BM-000000007,,"Ben Interior offers Benjamin Moore quality at a value price, with an easy-rolling, low-odour, zero-VOC paint and primer that delivers smooth, scuff-resistant finishes. The master lists Matte, Eggshell, Semi Gloss, or Pearl finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"ben, BEN, ben interior, interior paint, benjamin moore, bm paints, indoor, interior, zero voc, value, budget ",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/ecab0936531f7d5c8093a59c02d075b643228725/beninterior_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Matte | Eggshell | Semi Gloss | Pearl,1,1,,,,,"Eggshell=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0626/F6261X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0626/F6262X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0626/F6263X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0626/F6264X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0626/F62601_SDS_EN.pdf|Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0624/F6241X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0624/F6242X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0624/F6243X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0624/F6244X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0624/F62401_SDS_EN.pdf|Satin Pearl=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0628/F6281X_SDS_EN.PDF, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0628/F6282X_SDS_EN.PDF, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0628/F6283X_SDS_EN.PDF, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0628/F6284X_SDS_EN.PDF, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0628/F62801_SDS_EN.PDF|Semi Gloss=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0627/F6271X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0627/F6272X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0627/F6273X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0627/F6274X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0627/F62701_SDS_EN.pdf",Eggshell=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0626/F626_TDS_CE.pdf|Matte=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0624/F624_TDS_CE.pdf|Satin Pearl=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0628/F628_TDS_CE.pdf|Semi Gloss=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0627/F627_TDS_CE.pdf
simple,Kitchen & Bath Interior Paint,8,BM-000000008,,"Benjamin Moore Kitchen & Bath is a premium acrylic paint and primer formulated for humid kitchens and baths, providing durable, mildew-resistant protection with excellent colour retention and easy washability. The master lists Pearl finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"kitchen and bath, bathroom paint, benjamin moore, bm paints, indoor, interior, kitchen paint, mildew resistant, moisture resistant",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/42eb1a75a80656099448c84273a4fe231adf55bd/kitchenbath_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Pearl,1,1,,,,,"Pearl=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0322/F32201_MSDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0322/F3221B_MSDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0322/F3222B_MSDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0322/F3223B_MSDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0322/F3224B_MSDS_EN.pdf",Pearl=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0322/Y322_TDS_CE.pdf
simple,Waterborne Ceiling Paint,9,BM-000000009,,"Benjamin Moore waterborne Ceiling is a zero-VOC, ultra-flat acrylic ceiling paint designed to conceal surface imperfections, minimize spatter, and provide a beautiful, uniform finish in any colour. The master lists Ultra Flat finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"benjamin moore, bm paints, ceiling, ceiling paint, indoor, interior, ultra flat, zero voc",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/05f13770fb611e0f918140251cb94684a964d114/waterborneceilingpaint_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Ultra Flat,1,1,,,,,"Ultra Flat=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0508/F50809_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0508/F5081X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0508/F5082X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0508/F5083X_SDS_EN.pdf, https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0508/F5084X_SDS_EN.pdf",Ultra Flat=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0508/F508_TDS_CE.pdf
simple,Muresco Ceiling Paint,10,BM-000000010,,"Benjamin Moore Muresco Ceiling paint is a premium acrylic coating that rolls and sprays on smoothly, delivering a uniform, flat finish that diffuses light and helps obscure minor ceiling imperfections. The master lists Flat finish options. Confirm preparation, compatibility, application, coverage and recoat requirements in the current label or technical data sheet.",Previously Described,Paints > Interior,"benjamin moore, bm paints, ceiling, ceiling paint, flat finish, indoor, interior, muresco",Benjamin Moore,MOO01,https://github.com/GZToronto/steeles/blob/4162e2c5945f084d01a3f95fcb457243810c48ea/murescoceiling_interiorpaints_benjaminmoore.png?raw=true,Image already existed,Finishes,Flat,1,1,,,,,Flat=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/MSDS_0258/K25801_SDS_EN.pdf,Flat=https://media.benjaminmoore.com/WebServices/prod/assets/production/datasheets/TDS_0258/258_TDS_CE.pdf
